id;street_address;postal_code;city
1;Secured a;Tomé-et-Principe program Allemagne;West Saloméfort
2;Soft Colombie;installation c generating;Port Raymondfort
3;connecting;Gold harness;Lake Honoré
4;b;Reverse-engineered;Brest
5;Granite;hour Savings leading-edge;Strasbourg
6;Concrete Oman;up Licensed c;Vénissieux
7;Marshall Checking Pizza;open-source e-services;Mérignac
8;Exclusive cutting-edge;compelling Beauty;Guenièvreton
9;c mobile;infomediaries Grenade Licensed;Arnaudport
10;JBOD;calculating Jewelery;South Victoirefort
