id;name;description;base_rate;group_rate;full_rate
1;Intelligent open-source Champagne-Ardenne;orchid Bolivie CSS;59658;73568;10228
2;Bacon;circuit;54399;30034;44182
3;Koweït Quality-focused bus;a multimedia;31882;28514;43034
4;invoice;web-readiness Steel bypassing;82863;39524;82720
5;cross-platform;Népal Franc Nesle;28862;54489;46427
6;Self-enabling;Multi-lateral;54972;21321;4165
7;Licensed;capacitor architect;6945;38219;57196
8;Garden b;Executif Saint-Jacques Generic;80233;41552;20577
9;robust;Grocery PNG quantifying;11048;20170;80425
10;payment plum value-added;intuitive;67124;56429;64112
